- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 f | Deskripsi: Kepala tidak memecah permukaan air sebelum tanda 15 meter setelah start
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 g | Deskripsi: Kepala tidak memecah permukaan air sebelum tanda 15 meter setelah pembalikan
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 h | Deskripsi: Sebagian kepala belum melewati batas 5 meter, Atlet menyelam sepenuhnya saat finish
- Kategori: GAYA KUPU-KUPU | Pasal: 8.6 1 | Deskripsi: Menyelam sepenuhnya selama lomba
- Kategori: GAYA GANTI | Pasal: 5.1 | Deskripsi: Berenang dengan gaya punggung, gaya dada atau gaya kupu-kupu pada bagian gaya bebas
- Kategori: GAYA GANTI | Pasal: 9.1 a | Deskripsi: Salah urutan gaya ganti individu (kupu-kupu - punggung-dada- bebas)
- Kategori: GAYA GANTI | Pasal: 9.1 b | Deskripsi: Salah satu gaya dilakukan lebih atau kurang dari 1/4 jarak lomba (individu)
- Kategori: GAYA GANTI | Pasal: 9.2 a | Deskripsi: Salah urutan gaya ganti estafet (punggung-dada-kupu-kupu - bebas)
- Kategori: GAYA GANTI | Pasal: 9.2 b | Deskripsi: Salah satu gaya dilakukan lebih atau kurang dari 1/4 jarak lomba (estafet)
- Kategori: GAYA GANTI | Pasal: 9.3 a | Deskripsi: Porsi gaya bebas tidak pada posisi telungkup
- Kategori: GAYA GANTI | Pasal: 9.3 b | Deskripsi: Pergantian gaya dada ke bebas, meninggalkan dinding pembalikan dengan telentang disertai gerakan (tungkai atau tangan) sebelum badan kembali ke posisi telungkup
- Kategori: GAYA GANTI | Pasal: 9.4 | Deskripsi: Menyelesaikan jarak masing-masing bagian tidak sesuai aturan gaya masing-masing (termasuk finish dan turn)
- Kategori: GAYA GANTI | Pasal: 11.10 | Deskripsi: Menyelesaikan jarak masing-masing bagian tidak sesuai aturan gaya masing-masing (termasuk finish dan turn)
- Kategori: LOMBA | Pasal: 10.1 | Deskripsi: Berlomba tidak sesuai dengan kelompok jenis kelamin
- Kategori: LOMBA | Pasal: 10.2.1a | Deskripsi: Tidak menyelesaikan jarak pada nomor individu
- Kategori: LOMBA | Pasal: 10.2.1b | Deskripsi: Tidak menyelesaikan seperempat jarak pada nomor estafet
- Kategori: LOMBA | Pasal: 10.2.2 a | Deskripsi: Atlet melintas ke lintasan lain selama lomba
- Kategori: LOMBA | Pasal: 10.2.2.b | Deskripsi: Finish tidak pada lintasan yang sama saat start
- Kategori: LOMBA | Pasal: 10.2.3 a | Deskripsi: Saat pembalikan tidak menyentuh dinding
- Kategori: LOMBA | Pasal: 10.2.3 b | Deskripsi: Melakukan pembalikan tidak dari dinding (dari dasar kolam)
- Kategori: LOMBA | Pasal: 10.2.4 a | Deskripsi: Berdiri di dasar kolam (kecuali gaya bebas)
- Kategori: LOMBA | Pasal: 10.2.4 b | Deskripsi: Melangkah di dasar kolam
- Kategori: LOMBA | Pasal: 10.2.4 c | Deskripsi: Berjalan di dasar kolam
- Kategori: LOMBA | Pasal: 10.2.5 | Deskripsi: Menarik tali lintasan
- Kategori: LOMBA | Pasal: 10.2.6 α | Deskripsi: Menghalangi/mengganggu Atlet lain
- Kategori: LOMBA | Pasal: 10.2.6 b | Deskripsi: Menghentikan automatic timing system ketika lomba berlangsung
- Kategori: LOMBA | Pasal: 10.2.7 | Deskripsi: Atlet yang tidak terdaftar, masuk ke dalam air (kolam), selama lomba berlangsung (semua belum finish)
- Kategori: LOMBA | Pasal: 10.2.8 | Deskripsi: Setelah finish, tidak segera naik dan mengganggu Atlet lain yang masih lomba
- Kategori: LOMBA | Pasal: 10.2.9 a | Deskripsi: Bertindak sebagai pengatur kecepatan Atlet lain
- Kategori: LOMBA | Pasal: 10.2.9 b | Deskripsi: Menggunakan/ merencanakan menggunakan perangkat pengatur kecepatan
- Kategori: LOMBA | Pasal: 10.4.1 a | Deskripsi: Anggota estafet kurang dari 4 Atlet
- Kategori: LOMBA | Pasal: 10.4.1 b | Deskripsi: Anggota estafet campuran (mix) tidak terdiri dari 2 laki-laki dan 2 perempuan
- Kategori: LOMBA | Pasal: 10.4.2 a | Deskripsi: Terlambat menyerahkan form, urutan perenang estafet sesuai batas waktu yang ditentukan
- Kategori: LOMBA | Pasal: 10.4.2 b | Deskripsi: Urutan Atlet tidak sesuai dengan yang tercantum di form
- Kategori: LOMBA | Pasal: 10.4.2.1α | Deskripsi: Mengganti anggota estafet tanpa keterangan dokter
